Name of Entity,Dates of Breach,Type of Breach,Individuals Affected,State Reported,Start Date of Breach
Aflac,9/29/2016,unauthorized access,2 (in Maryland),Maryland,2016-09-29 00:00:00
Ohlone Community College District,9/30/2016,unauthorized access,1 (in Maryland),Maryland,2016-09-30 00:00:00
Hutton Hotel,9/30/2016,unauthorized access,383 (in Maryland),Maryland,2016-09-30 00:00:00
Chevron U.S.A.,9/30/2016,stolen hard drive,1 (in Maryland),Maryland,2016-09-30 00:00:00
Reeds Jewelers,10/3/2016,info inadvertently included in an email,6 (in Maryland),Maryland,2016-10-03 00:00:00
Vaupell,10/3/2016,network server intrusion,2 (in Maryland),Maryland,2016-10-03 00:00:00
Rainbow Children&#39;s Clinic,10/3/2016,ransomware,4 (in Maryland),Maryland,2016-10-03 00:00:00
Rainbow Children&#39;s Clinic,10/3/2016,ransomware,4 (in Maryland),Maryland,2016-10-03 00:00:00
"Francisco Jaume, D.O.",10/3/2016,unauthorized access,3 (in Maryland),Maryland,2016-10-03 00:00:00
intuit,10/4/2016,unauthorized access, (in Maryland),Maryland,2016-10-04 00:00:00
Sirius XM Radio Inc.,10/4/2016,hacker,2 (in Maryland),Maryland,2016-10-04 00:00:00
King of Prussia Dental Association,10/4/2016,unauthorized access,63 (in Maryland),Maryland,2016-10-04 00:00:00
HD Vest Investment Services,10/5/2016,malware, (in Maryland),Maryland,2016-10-05 00:00:00
"Securities America, Inc.",10/6/2016,unauthorized access,1 (in Maryland),Maryland,2016-10-06 00:00:00
"Securities America, Inc.",10/6/2016,unauthorized access,1 (in Maryland),Maryland,2016-10-06 00:00:00
"Citibank, N.A.",10/12/2016,improper access by former employee,5 (in Maryland),Maryland,2016-10-12 00:00:00
Chevron U.S.A.,10/12/2016,contractor improperly copied data,1 (in Maryland),Maryland,2016-10-12 00:00:00
Vera Bradley,10/12/2016,unauthorized access, (in Maryland),Maryland,2016-10-12 00:00:00
"Curtis F. Robinson, M.D. Inc.",10/13/2016,malware,4 (in Maryland),Maryland,2016-10-13 00:00:00
Delta Career Education Corporation,10/13/2016,phishing,7 (in Maryland),Maryland,2016-10-13 00:00:00
Dale A. Wein Prof LLC,10/14/2016,hacking,2 (in Maryland),Maryland,2016-10-14 00:00:00
"MicroDAQ.com, LTD.",10/14/2016,malware, (in Maryland),Maryland,2016-10-14 00:00:00
Kliger &amp; Zoldan CPA,10/14/2016,unauthorized access,14 (in Maryland),Maryland,2016-10-14 00:00:00
"Allegis Group, Inc.",10/17/2016,unauthorized access,1 (in Maryland),Maryland,2016-10-17 00:00:00
intuit Inc.,10/17/2016,unauthorized access,11 (in Maryland),Maryland,2016-10-17 00:00:00
Broadview Mortgage,10/17/2016,unauthorized access to server,4 (in Maryland),Maryland,2016-10-17 00:00:00
Howard University,10/18/2016,phishing,7 (in Maryland),Maryland,2016-10-18 00:00:00
Howard University,10/18/2016,phishing,7 (in Maryland),Maryland,2016-10-18 00:00:00
SOS International,10/18/2016,unauthorized access,3 (in Maryland),Maryland,2016-10-18 00:00:00
MIND Research Institute,10/18/2016,phishing,4 (in Maryland),Maryland,2016-10-18 00:00:00
Borden Perlman Insurance,10/18/2016,unauthorized access,23 (in Maryland),Maryland,2016-10-18 00:00:00
Eastwood Company,10/19/2016,malware, (in Maryland),Maryland,2016-10-19 00:00:00
State Farm Mutual Automobile Insurance Company,10/20/2016,unauthorized access,1 (in Maryland),Maryland,2016-10-20 00:00:00
State Farm Mutual Automobile Insurance Company,10/20/2016,unauthorized access,1 (in Maryland),Maryland,2016-10-20 00:00:00
"Ameriprise Financial Services, Inc.",10/20/2016,info inadvertently visible on envelope window,5 (in Maryland),Maryland,2016-10-20 00:00:00
SDI International Corp.,10/20/2016,info inadvertently attached to email,1 (in Maryland),Maryland,2016-10-20 00:00:00
"The City of Middletown, New York",10/21/2016,network intrusion,62 (in Maryland),Maryland,2016-10-21 00:00:00
"Greater Florida Anesthesiologists, LLC",10/21/2016,unauthorized access,1 (in Maryland),Maryland,2016-10-21 00:00:00
"Atlanta Falcons Football Club, LLC",10/24/2016,malware,12 (in Maryland),Maryland,2016-10-24 00:00:00
"Seterus, Inc.",10/25/2016,info sent to wrong party,1 (in Maryland),Maryland,2016-10-25 00:00:00
"Joseph L. Rosenberg, CPA",10/25/2016,phishing,9 (in Maryland),Maryland,2016-10-25 00:00:00
"Seterus, Inc.",10/26/2016,incorrect cover letter attached,2 (in Maryland),Maryland,2016-10-26 00:00:00
"International E-Z Up, Inc.",10/26/2016,malware,4 (in Maryland),Maryland,2016-10-26 00:00:00
Nationstar Mortgage,10/27/2016,phishing,1 (in Maryland),Maryland,2016-10-27 00:00:00
Nationstar Mortgage,10/27/2016,phishing,1 (in Maryland),Maryland,2016-10-27 00:00:00
"Candy Kitchen Shoppes, Inc.",10/31/2016,malware, (in Maryland),Maryland,2016-10-31 00:00:00
"Natural Life Collections, Inc.",10/31/2016,hacking,12 (in Maryland),Maryland,2016-10-31 00:00:00
The Lincoln National Life Insurance Company,11/1/2016,"name, payment card info", (in Maryland),Maryland,2016-11-01 00:00:00
The Lincoln National Life Insurance Company,11/1/2016,"name, payment card info", (in Maryland),Maryland,2016-11-01 00:00:00
The Lincoln National Life Insurance Company,11/1/2016,"name, payment card info", (in Maryland),Maryland,2016-11-01 00:00:00
The Lincoln National Life Insurance Company,11/1/2016,"name, payment card info", (in Maryland),Maryland,2016-11-01 00:00:00
Manduka,11/2/2016,"name, password, payment card info", (in Maryland),Maryland,2016-11-02 00:00:00
Christian Louboutin LLC,11/3/2016,"name, address, dob, ssn", (in Maryland),Maryland,2016-11-03 00:00:00
Sentinel Hotel,11/3/2016,"name, address, dob, ssn", (in Maryland),Maryland,2016-11-03 00:00:00
"National Wholesale Company, Inc.",11/3/2016,"name, ssn", (in Maryland),Maryland,2016-11-03 00:00:00
"National Wholesale Company, Inc.",11/3/2016,"name, ssn", (in Maryland),Maryland,2016-11-03 00:00:00
Comiskey &amp; Company,11/4/2016,"name, payment card info, username/pw", (in Maryland),Maryland,2016-11-04 00:00:00
Comiskey &amp; Company,11/4/2016,"name, payment card info, username/pw", (in Maryland),Maryland,2016-11-04 00:00:00
"Welk Resort Group, Inc.",11/4/2016,"name, financial info, payment card info, dln, tax info", (in Maryland),Maryland,2016-11-04 00:00:00
Sentinel Hotel,11/4/2016,"name, ssn, student id numbers, dob", (in Maryland),Maryland,2016-11-04 00:00:00
Prime Inc.,11/7/2016,"names, addresses, dates of birth, insurance information, drive r&#39;s license information and health information", (in Maryland),Maryland,2016-11-07 00:00:00
"Thirty Three Threads, Inc.",11/7/2016,"name, address, ssn, tax info", (in Maryland),Maryland,2016-11-07 00:00:00
IDEO.org,11/8/2016,"name, ssn", (in Maryland),Maryland,2016-11-08 00:00:00
Honigâ€™s Whistle Stop,11/8/2016,"name, dob, dln", (in Maryland),Maryland,2016-11-08 00:00:00
Honigâ€™s Whistle Stop,11/8/2016,"name, dob, dln", (in Maryland),Maryland,2016-11-08 00:00:00
United Services Automobile Association,11/9/2016,"social security numbers, dates of birth, driver&#39;s license information, passport information, and addresses.", (in Maryland),Maryland,2016-11-09 00:00:00
"Eileen Fisher, Inc.",11/9/2016,"name, dob, address, ssn, passport info", (in Maryland),Maryland,2016-11-09 00:00:00
"Richard E. Jackson, CPA, APC",11/9/2016,"name, payment card info", (in Maryland),Maryland,2016-11-09 00:00:00
UFCW Local 655 Food Employers Joint Pension Plan,11/9/2016,"name, payment card info", (in Maryland),Maryland,2016-11-09 00:00:00
"Claudio A. Haug, CPA, APC",11/9/2016,"name, address, payment card info", (in Maryland),Maryland,2016-11-09 00:00:00
Politi &amp; Magnifico LLC,11/9/2016,"name, address", (in Maryland),Maryland,2016-11-09 00:00:00
Politi &amp; Magnifico LLC,11/9/2016,"name, address", (in Maryland),Maryland,2016-11-09 00:00:00
"Best Health Physical Therapy, LLC",11/9/2016,"name, address, payment card info", (in Maryland),Maryland,2016-11-09 00:00:00
"TruHome Solutions, Inc.",11/10/2016,"name, ssn, tax info", (in Maryland),Maryland,2016-11-10 00:00:00
Baxter Credit Union,11/10/2016,"name, dob, address, ssn, financial info", (in Maryland),Maryland,2016-11-10 00:00:00
Charles Schwab &amp; Co. Inc.,11/11/2016,"name, payment card info", (in Maryland),Maryland,2016-11-11 00:00:00
Charles Schwab &amp; Co. Inc.,11/11/2016,"name, payment card info", (in Maryland),Maryland,2016-11-11 00:00:00
"Sirius XM Radio, Inc.",11/14/2016,"name, ssn, tax info, banking info", (in Maryland),Maryland,2016-11-14 00:00:00
Bed Bath &amp; Beyond Inc.,11/15/2016,"name, address, tax info, ssn", (in Maryland),Maryland,2016-11-15 00:00:00
Aetna (Security Breach),11/15/2016,"name, ssn, tax id info", (in Maryland),Maryland,2016-11-15 00:00:00
Aetna (Security Breach),11/15/2016,"name, ssn, tax id info", (in Maryland),Maryland,2016-11-15 00:00:00
Aetna (Security Breach),11/15/2016,"name, ssn, tax id info", (in Maryland),Maryland,2016-11-15 00:00:00
Aetna (Security Breach),11/15/2016,"name, ssn, tax id info", (in Maryland),Maryland,2016-11-15 00:00:00
"Eye Institute of Marin (Kathryn Najafi-Tagol, M.D.)",11/16/2016,"name, address, payment card info", (in Maryland),Maryland,2016-11-16 00:00:00
"Educents, Inc.",11/16/2016,"name, ssn", (in Maryland),Maryland,2016-11-16 00:00:00
Targeted Victory,11/17/2016,"name, payment card info", (in Maryland),Maryland,2016-11-17 00:00:00
SallieMae,11/17/2016,"name, ssn, dob, health insurance info, dln, banking info", (in Maryland),Maryland,2016-11-17 00:00:00
Michigan State University,11/18/2016,"name, address, ssn, plan info, dob", (in Maryland),Maryland,2016-11-18 00:00:00
Michigan State University,11/18/2016,"name, address, ssn, plan info, dob", (in Maryland),Maryland,2016-11-18 00:00:00
Michigan State University,11/18/2016,"name, address, ssn, plan info, dob", (in Maryland),Maryland,2016-11-18 00:00:00
Yummie,11/18/2016,"name, payment card info, address", (in Maryland),Maryland,2016-11-18 00:00:00
Springfield Armory,11/18/2016,"name ssn, taxpayer ID, dob", (in Maryland),Maryland,2016-11-18 00:00:00
HD Vest Investment Services,11/18/2016,"name, address, ssn, dob", (in Maryland),Maryland,2016-11-18 00:00:00
Island Hotel Company Limited,11/21/2016,"name, payment card info", (in Maryland),Maryland,2016-11-21 00:00:00
"Ameriprise Financial Services, Inc.",11/21/2016,"name address, dob, ssn, employment info, bank account info", (in Maryland),Maryland,2016-11-21 00:00:00
"Open Text, Inc.",11/21/2016,"name, address, dob, ssn, banking info", (in Maryland),Maryland,2016-11-21 00:00:00
United States Olympic Committee,11/22/2016,"name, ssn, banking info, dln", (in Maryland),Maryland,2016-11-22 00:00:00
The Madison Square Garden Company,11/22/2016,"name, ssn, address, bank account info", (in Maryland),Maryland,2016-11-22 00:00:00
Wisconsin Naitonal Guard Association,11/23/2016,"name, payment card info", (in Maryland),Maryland,2016-11-23 00:00:00
Backcountry Gear,11/23/2016,"name, address, dob, ssn, tax info", (in Maryland),Maryland,2016-11-23 00:00:00
Backcountry Gear,11/23/2016,"name, address, dob, ssn, tax info", (in Maryland),Maryland,2016-11-23 00:00:00
Allstate Insurance Company,11/23/2016,"name, address, dln", (in Maryland),Maryland,2016-11-23 00:00:00
Allstate Insurance Company,11/23/2016,"name, address, dln", (in Maryland),Maryland,2016-11-23 00:00:00
Allstate Insurance Company,11/23/2016,"name, address, dln", (in Maryland),Maryland,2016-11-23 00:00:00
"Hillary Tentler, CPA",11/23/2016,"name, payment card info", (in Maryland),Maryland,2016-11-23 00:00:00
"Hillary Tentler, CPA",11/23/2016,"name, payment card info", (in Maryland),Maryland,2016-11-23 00:00:00
Chesapeake Public Schools,11/25/2016,"name, payment card info", (in Maryland),Maryland,2016-11-25 00:00:00
"Glenn R. Millar, CPA PC",11/28/2016,"names, account numbers, contact information", (in Maryland),Maryland,2016-11-28 00:00:00
State Street Bank and Trust Company,11/28/2016,"name, ssn", (in Maryland),Maryland,2016-11-28 00:00:00
State Street Bank and Trust Company,11/28/2016,"name, ssn", (in Maryland),Maryland,2016-11-28 00:00:00
Caesars Entertainment,11/28/2016,"name, payment card info", (in Maryland),Maryland,2016-11-28 00:00:00
Caesars Entertainment,11/28/2016,"name, payment card info", (in Maryland),Maryland,2016-11-28 00:00:00
BWTX Associates,11/29/2016,"name, payment card info", (in Maryland),Maryland,2016-11-29 00:00:00
"Young Adult Institute, Inc.",11/29/2016,"name, ssn, dob, account numbers", (in Maryland),Maryland,2016-11-29 00:00:00
SEED School of Maryland,11/29/2016,"name, payment card info", (in Maryland),Maryland,2016-11-29 00:00:00
"SwervePoint, LLC",11/29/2016,"name, ssn, dob", (in Maryland),Maryland,2016-11-29 00:00:00
DeWitt French Giger &amp; Sitton LLP,11/29/2016,"name, address, account numbers, dob, ssn", (in Maryland),Maryland,2016-11-29 00:00:00
M&amp;T Bank (Identity Theft),11/29/2016,"name, address, payment card info", (in Maryland),Maryland,2016-11-29 00:00:00
"LANG Companies, Inc.",11/30/2016,"name, dob, address, ssn", (in Maryland),Maryland,2016-11-30 00:00:00
Baylor College of Medicine,11/30/2016,"name, dob, address, ssn, prescription info", (in Maryland),Maryland,2016-11-30 00:00:00
"Gustafson &amp; Wargo, CPAs, LLP",12/1/2016,unauthorized network access,4 (in Maryland),Maryland,2016-12-01 00:00:00
San Jose Evergreen Community College District,12/1/2016,info inadvertently publicly accessible,1 (in Maryland),Maryland,2016-12-01 00:00:00
"Melissa Selke, MD PC Family Medicine",12/2/2016,ransomware,1 (in Maryland),Maryland,2016-12-02 00:00:00
United Auto Credit Corporation,12/2/2016,info inadvertently included in emails,1 (in Maryland),Maryland,2016-12-02 00:00:00
United Auto Credit Corporation,12/2/2016,info inadvertently included in emails,1 (in Maryland),Maryland,2016-12-02 00:00:00
"Guilmartin, DiPiro &amp; Sokolowski, LLC",12/2/2016,unauthorized network access,7 (in Maryland),Maryland,2016-12-02 00:00:00
intuit Inc.,12/2/2016,unauthorized account access,1 (in Maryland),Maryland,2016-12-02 00:00:00
Brennan Recupero Cascione Scungio and McAllister LLP,12/5/2016,unauthorized access,38 (in Maryland),Maryland,2016-12-05 00:00:00
Augusta University,12/5/2016,phishing, (in Maryland),Maryland,2016-12-05 00:00:00
Venture Logistics,12/5/2016,malware,56 (in Maryland),Maryland,2016-12-05 00:00:00
Hansen Cochrane Ltd.,12/6/2016,info inadvertently emailed,1 (in Maryland),Maryland,2016-12-06 00:00:00
Aspen Management LLC DBA Aspen Hotels,12/6/2016,malware, (in Maryland),Maryland,2016-12-06 00:00:00
Aspen Management LLC DBA Aspen Hotels,12/6/2016,malware, (in Maryland),Maryland,2016-12-06 00:00:00
Anchor Loans LP,12/7/2016,database inadvertently available online,18 (in Maryland),Maryland,2016-12-07 00:00:00
Anchor Loans LP,12/7/2016,database inadvertently available online,18 (in Maryland),Maryland,2016-12-07 00:00:00
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",12/9/2016,improper access by employee,9 (in Maryland),Maryland,2016-12-09 00:00:00
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",12/9/2016,improper access by employee,9 (in Maryland),Maryland,2016-12-09 00:00:00
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",12/9/2016,improper access by employee,9 (in Maryland),Maryland,2016-12-09 00:00:00
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",12/9/2016,improper access by employee,9 (in Maryland),Maryland,2016-12-09 00:00:00
"Julep Beauty, Inc.",12/9/2016,malware,12 (in Maryland),Maryland,2016-12-09 00:00:00
The Royster Group,12/9/2016,info inadvertently included in email,3 (in Maryland),Maryland,2016-12-09 00:00:00
"Nexion Healthcare Management, Inc.",12/9/2016,phishing,45 (in Maryland),Maryland,2016-12-09 00:00:00
intuit Inc.,12/12/2016,unauthorized access,9 (in Maryland),Maryland,2016-12-12 00:00:00
"Breville USA, Inc.",12/13/2016,malware,6 (in Maryland),Maryland,2016-12-13 00:00:00
Two Leaves and Bud Tea Company,12/13/2016,malware,6 (in Maryland),Maryland,2016-12-13 00:00:00
"BraceAbility, Inc.",12/13/2016,malware,99 (in Maryland),Maryland,2016-12-13 00:00:00
Two Leaves and Bud Tea Company,12/14/2016,unauthorized access to,1 (in Maryland),Maryland,2016-12-14 00:00:00
"Fujitsu Computer Products of America, Inc.",12/15/2016,malware,19 (in Maryland),Maryland,2016-12-15 00:00:00
Lincoln Financial Group,12/15/2016,stolen laptop,31 (in Maryland),Maryland,2016-12-15 00:00:00
Tropicana St. Louis LLC dba Lumiere Place Casino &amp; Hotels,12/15/2016,unauthorized access,7 (in Maryland),Maryland,2016-12-15 00:00:00
Fredrick County Public Schools,12/16/2016,unauthorized accss,1 (in Maryland),Maryland,2016-12-16 00:00:00
Roach &amp; Hanson PLLC,12/16/2016,unauthorized access,8 (in Maryland),Maryland,2016-12-16 00:00:00
Movement Mortgage,12/16/2016,phishing,8 (in Maryland),Maryland,2016-12-16 00:00:00
TSG Financial,12/16/2016,info inadvertently accessible via internet,7 (in Maryland),Maryland,2016-12-16 00:00:00
Sirius XM Radio Inc.,12/19/2016,unauthorized access,6 (in Maryland),Maryland,2016-12-19 00:00:00
"Western Union Financial Services, Inc.",12/19/2016,unauthorized access,"1,032 (in Maryland)",Maryland,2016-12-19 00:00:00
"Western Union Financial Services, Inc.",12/19/2016,unauthorized access,"1,032 (in Maryland)",Maryland,2016-12-19 00:00:00
Luther College,12/19/2016,phishing,5 (in Maryland),Maryland,2016-12-19 00:00:00
Hillary for America,12/19/2016,unauthorized email access,30 (in Maryland),Maryland,2016-12-19 00:00:00
"Cruz Associates, Inc.",12/19/2016,ransomware,26 (in Maryland),Maryland,2016-12-19 00:00:00
University of South Carolina Upstate,12/19/2016,unauthorized access to email,3 (in Maryland),Maryland,2016-12-19 00:00:00
The Guardian Life Insurance Company of America,12/20/2016,processing errors, (in Maryland),Maryland,2016-12-20 00:00:00
The Guardian Life Insurance Company of America,12/20/2016,processing errors, (in Maryland),Maryland,2016-12-20 00:00:00
The Guardian Life Insurance Company of America,12/20/2016,processing errors, (in Maryland),Maryland,2016-12-20 00:00:00
Claremont University Consortium,12/22/2016,stolen laptop,6 (in Maryland),Maryland,2016-12-22 00:00:00
Dover Federal Credit Union,12/22/2016,improper access by employee, (in Maryland),Maryland,2016-12-22 00:00:00
"Essex County, New Jersey",12/23/2016,unauthorized access to computer network,2 (in Maryland),Maryland,2016-12-23 00:00:00
"Brandywine Pediatrics, P.A.",12/23/2016,ransomware,269 (in Maryland),Maryland,2016-12-23 00:00:00
"The Topps Company, Inc.",12/27/2016,unauthorized access,223 (in Maryland),Maryland,2016-12-27 00:00:00
Safe For Home Products LLC DBA Naturepedic,12/27/2016,malware,44 (in Maryland),Maryland,2016-12-27 00:00:00
Safe For Home Products LLC DBA Naturepedic,12/27/2016,malware,44 (in Maryland),Maryland,2016-12-27 00:00:00
"Account Control Technology, Inc.",12/28/2016,malware, (in Maryland),Maryland,2016-12-28 00:00:00
Dietz &amp; Watson,12/28/2016,improper access by employee,55 (in Maryland),Maryland,2016-12-28 00:00:00
Indique,12/29/2016,data CD lost in mail,23 (in Maryland),Maryland,2016-12-29 00:00:00
Community Health Plan of Washington,12/29/2016,unauthorized access,1 (in Maryland),Maryland,2016-12-29 00:00:00
Community Health Plan of Washington,12/29/2016,unauthorized access,1 (in Maryland),Maryland,2016-12-29 00:00:00
Community Health Plan of Washington,12/29/2016,unauthorized access,1 (in Maryland),Maryland,2016-12-29 00:00:00
